0x1	Esc
0x2	1
0x3	2
0x4	3
0x5	4
0x6	5
0x7	6
0x8	7
0x9	8
0xa	9
0xb	0
0xc	-
0xd	=
0xe	Backspace
0xf	Tab
0x10	Q
0x11	W
0x12	E
0x13	R
0x14	T
0x15	Y
0x16	U
0x17	I
0x18	O
0x19	P
0x1a	[
0x1b	]
0x1c	Enter
0x1d	Ctrl
0x1e	A
0x1f	S
0x20	D
0x21	F
0x22	G
0x23	H
0x24	J
0x25	K
0x26	L
0x27	;
0x28	'
0x29	`
0x2a	Shift
0x2b	\
0x2c	Z
0x2d	X
0x2e	C
0x2f	V
0x30	B
0x31	N
0x32	M
0x33	,
0x34	.
0x35	/
0x36	Right Shift
0x37	Num *
0x38	Alt
0x39	Space
0x3a	Caps Lock
0x3b	F1
0x3c	F2
0x3d	F3
0x3e	F4
0x3f	F5
0x40	F6
0x41	F7
0x42	F8
0x43	F9
0x44	F10
0x45	Num Lock
0x46	Scroll Lock
0x4a	Num -
0x4e	Num +
0x54	\
0x55	F11
0x56	F12
0x5e	F14
0x5f	F15
0x6a	Num Enter
0x6b	Right Ctrl
0x74	Num /
0x75	Sys Req
0x76	Right Alt
0x77	Break
0x78	Home
0x79	Up
0x7a	Page Up
0x7b	Left
0x7c	Right
0x7d	End
0x7e	Down
0x7f	Page Down
0x80	Insert
0x81	Delete
0x82	Left Windows
0x83	Right Windows
0x91	Wheel Up
0x92	Wheel Down
0x93	Middle Mouse
0x94	Mouse 4
0x95	Mouse 5
0x96	Mouse 6
0x97	Mouse 7
0x98	Mouse 8
0x99	Gamepad Up
0x9a	Gamepad Down
0x9b	Gamepad Left
0x9c	Gamepad Right
0x9d	Gamepad Start
0x9e	Gamepad Back
0x9f	Gamepad LThumb
0xa0	Gamepad RThumb
0xa1	Gamepad LBumper
0xa2	Gamepad RBumper
0xa3	Gamepad LTrigger
0xa4	Gamepad RTrigger
0xa5	Gamepad A
0xa6	Gamepad B
0xa7	Gamepad X
0xa8	Gamepad Y
0xa9	Gamepad Paddle 1
0xaa	Gamepad Paddle 2
0xab	Gamepad Paddle 3
0xac	Gamepad Paddle 4
